"Jméno";"Popis";"Cena";"Premiéra";"Délka představení";"Měna";"Příprava";"Poznámka";"Elektřina";"Osvětlení";"Šířka";"Výška";"Hloubka"
"Hosínburg";"Podaří-li se vám zhasnout dvě svíce, skryté v oknech hradních věží (pomocí míčků), uspíme tak draka a můžeme nejen nepozorovaně kolem něj projít, ale navíc získat bod v podobě ozdobného razítka.";"2500.000 Kč";"7. 6. 2008";"240 min";"Česká koruna";"30 min";"do 4h-2 500kč
nad 4h(max6)-3 000kč
nad 6h dohoda
";"Bez";"Exteriér-bez osvětlení";"4.0 cm";"3.0 cm";"3.0 cm"
"K3";"Než zdoláme svou první osmitisícovku, je třeba pilně trénovat. Proto jsme připravili náročnou, ale bezpečnou tréninkovou stěnu. Stupeň obtížnosti si každý vybere sám dle své kondice.";"2500.000 Kč";"7. 6. 2008";"240 min";"Česká koruna";"30 min";"do 4h-2 500kč
nad 4h(max6)-3 000kč
nad 6h dohoda";"Bez";"Exteriér-bez osvětlení";"4.0 cm";"3.0 cm";"3.0 cm"
"Rybolov";"Co všechno jde v rybníku ulovit? Rybu, raka, ale i botu či starý hrnec. Záleží jen na šikovnosti.";"2500.000 Kč";"7. 6. 2008";"240 min";"Česká koruna";"30 min";"do 4h-2 500kč
nad 4h(max6)-3 000kč
nad 6h dohoda";"Bez";"Exteriér-bez osvětlení";"3.0 cm";"2.0 cm";"3.0 cm"
"Za devatero...";"Vyber si svou cestu v pohádkovém světě. Pomocí kompasu a šikovnosti dojdeš bez úhony až do hradu. Pozor však na loupežníky, hady, močál, ledovec či lávku přes propast – cesta je úzká a plná nebezpečenství. (Červené cesty jsou stejně dlouhé, je tedy možné pro zdatné borce pořádat i rychlostní závody.)";"2500.000 Kč";"14. 5. 2008";"240 min";"Česká koruna";"30 min";"do 4h-2 500kč
nad 4h(max6)-3 000kč
nad 6h dohoda";"Bez";"Exteriér-bez osvětlení";"3.0 cm";"4.0 cm";"2.0 cm"
"Hemingway-mořský svět";"Puzzle, jak je neznáte. V mořském světě má každý živočich své místo, které máme za úkol najít. Stejně jako potápěč můžeme poznávat druhy známé i ty neznámé.";"2500.000 Kč";"7. 6. 2008";"240 min";"Česká koruna";"30 min";"do 4h-2 500kč
nad 4h(max6)-3 000kč
nad 6h dohoda";"Bez";"Exteriér-bez osvětlení";"3.0 cm";"3.0 cm";"2.0 cm"
"Šifry";"Jen hlavy bystré a šikovné se mohou naučit tajnou řeč barev, symbolů a čísel, které mají svůj řád a své určené místo.";"2500.000 Kč";"17. 6. 2008";"240 min";"Česká koruna";"30 min";"do 4h-2 500kč
nad 4h(max6)-3 000kč
nad 6h dohoda";"Bez";"Exteriér-bez osvětlení";"3.0 cm";"3.0 cm";"2.0 cm"
"Za sedmero...";"Ostrovy jsou propojené tajnými podmořskými tunely. Nestačí najít vchod, ale objevit i východ na ostrově druhém a včas přistavit povoz, abyste mohli v cestě úspěšně pokračovat.";"2500.000 Kč";"23. 5. 2009";"240 min";"Česká koruna";"30 min";"do 4h-2 500kč
nad 4h(max6)-3 000kč
nad 6h dohoda";"Bez";"Exteriér-bez osvětlení";"3.0 cm";"4.0 cm";"2.0 cm"
"Vihárek";"Hod podkovou je stará keltská hra dodnes oblíbená po celém světě. My jsme však kovové podkovy zaměnili za slaměné věnečky.";"2500.000 Kč";"7. 11. 2008";"240 min";"Česká koruna";"30 min";"do 4h-2 500kč
nad 4h(max6)-3 000kč
nad 6h dohoda";"Bez";"Exteriér-bez osvětlení";"2.0 cm";"2.0 cm";"2.0 cm"
"Opičí dráha";"Hra jen pro nebojácné. Proběhnout mezi zrádnými houpajícími se nástrahami, přitom ještě správně umístnit kroužek a neutrpět zásah, to chce nejen odvahu, ale také rychlé nohy. (Vše je z molitanu – zranění nehrozí.)";"2500.000 Kč";"6. 12. 2008";"240 min";"Česká koruna";"30 min";"do 4h-2 500kč
nad 4h(max6)-3 000kč
nad 6h dohoda";"Bez";"Exteriér-bez osvětlení";"4.0 cm";"5.0 cm";"3.0 cm"
"Mléčná dráha";"Hra pro silné nervy. Vesmírná loď, pohlcená černou dírou, musí opatrně proplout napříč galaxií, proletět hvězdnou bránou a dostat se zpět do našeho časoprostoru.";"2500.000 Kč";"14. 12. 2008";"240 min";"Česká koruna";"30 min";"do 4h-2 500kč
nad 4h(max6)-3 000kč
nad 6h dohoda";"Bez";"Exteriér-bez osvětlení";"3.0 cm";"4.0 cm";"2.0 cm"
"Tlapičky";"Poznat zvíře, najít jeho stopy, je jen první část úkolu. V druhé části musíme zvíře co nejobratněji vystopovat. (Našlapujeme pouze na dvě namalované stopy, které klademe jednotlivě před sebe.)";"2500.000 Kč";"7. 6. 2008";"240 min";"Česká koruna";"30 min";"do 4h-2 500kč
nad 4h(max6)-3 000kč
nad 6h dohoda";"Bez";"Exteriér-bez osvětlení";"2.0 cm";"4.0 cm";"5.0 cm"
"Honák";"Úkolem je zahnat dobytek z pastvy do chlévů a nadojit co nejvíce litrů mléka. (Krávy-žetony se vstřelují do kotců s čísly, která se sečtou, výsledek je nadojené množství mléka.) Hru mohou proti sobě hrát až čtyři hráči najednou, každý s jinou barvou žetonu.";"2500.000 Kč";"23. 5. 2009";"240 min";"Česká koruna";"30 min";"do 4h-2 500kč
nad 4h(max6)-3 000kč
nad 6h dohoda";"Bez";"Exteriér-bez osvětlení";"2.0 cm";"2.0 cm";"3.0 cm"
"Ptáčci";"Staň se na chvíli ornitologem,poznej jednotlivé druhy ptactva a najdi pro ně to správné místo v puzzle lese.";"2500.000 Kč";"12. 6. 2011";"240 min";"Česká koruna";"30 min";"do 4h-2 500kč
nad 4h(max6)-3 000kč
nad 6h dohoda";"Bez";"Exteriér-bez osvětlení";"3.0 cm";"4.0 cm";"2.0 cm"
"Čára";"Hra známá již ze školních lavic, jen mince jsme zaměnili za žetony-letadla.

Úkolem je úspěšně přistát a dle zkušenosti každého pilota i zajet do hangáru.

Kdo bude nejlepší?";"2500.000 Kč";"28. 5. 2011";"240 min";"Česká koruna";"30 min";"do 4h-2 500kč
nad 4h(max6)-3 000kč
nad 6h dohoda";"Bez";"Exteriér-bez osvětlení";"2.0 cm";"2.0 cm";"3.0 cm"
"Hugo";"Ďábelský míček pekelně potrápí tvou hlavu, ruce i trpělivost.

"Úhel odrazu se rovná úhlu dopadu";"2500.000 Kč";"1. 9. 2012";"240 min";"Česká koruna";"30 min";"do 4h-2 500kč
nad 4h(max6)-3 000kč
nad 6h dohoda";"Bez";"Exteriér-bez osvětlení";"2.0 cm";"2.0 cm";"3.0 cm"
"Střelba z děla";"....pirátská loď na obzoru, všichni na svá místa....spustit hlavní plachtu, otevřít střílny....pal !!!!!
Hra pro pravé námořníky, staňte se alespoň na krátký okamžik hrdinou ,který zastaví obávané piráty.
Bezpečná hra pro všechny neboť, střelným prachem je vzduch a dělová koule je z molitanu.";"2500.000 Kč";"8. 7. 2016";"0 min";"Česká koruna";"0 min";"";"220V";"";"600.0 cm";"400.0 cm";"400.0 cm"
"Střelba z kuše";"Sportovní střelba na terč za dozoru zkušené obsluhy.
Bezpečná hra pro všechny,neboť hroty šípů jsou opatřeny přísavkou.";"0.000 Kč";"8. 7. 2016";"0 min";"Česká koruna";"0 min";"";"";"";"0.0 cm";"0.0 cm";"0.0 cm"
"Labyrint";"";"0.000 Kč";"22. 4. 2023";"0 min";"";"0 min";"";"";"";"4.0 cm";"3.0 cm";"4.0 cm"
"Karety Mořské";"";"0.000 Kč";"22. 4. 2023";"0 min";"";"0 min";"";"";"";"4.0 cm";"4.0 cm";"4.0 cm"
