title,artist,genre,duration,bpm,key,notes
Bohemian Rhapsody,Queen,Rock,355,72,Bb,Classic rock anthem with operatic section
Imagine,John Lennon,Pop,183,76,C,Peace song - simple piano arrangement
Sweet Child O' Mine,Guns N' Roses,Rock,356,125,D,Iconic guitar riff and solo
Billie Jean,Michael Jackson,Pop,294,117,F#m,Danceable groove - 80s classic
Wonderwall,Oasis,Rock,258,87,F#m,Acoustic guitar driven Britpop hit
Smells Like Teen Spirit,Nirvana,Grunge,302,116,F,Power chords - grunge anthem
Hotel California,Eagles,Rock,391,74,Bm,Extended guitar outro jam
Shape of You,Ed Sheeran,Pop,234,96,C#m,Modern pop with tropical house elements
Stairway to Heaven,Led Zeppelin,Rock,482,82,Am,Progressive rock epic
Rolling in the Deep,Adele,Soul,228,105,Cm,Powerful vocals required
